iter	Passed	Remaining
0	1	275
1	1	217
2	2	221
3	3	208
4	5	262
5	5	242
6	6	223
7	6	212
8	27	757
9	27	692
10	28	640
11	29	603
12	51	983
13	52	920
14	5215	5115	5316	52	747
17	52	711
18	60	772
19	6119	72	872
20	73	834
21	99	1075
22	99	1030
23	103	1024
24	104	984
25	104	946
26	105	912
27	105	880
28	106	851
29	10631	116	835
32	1131	124	890
32	125	866
33	125	840
34	126	816
35	127	795
36	127	773
37	128	753
38	129	737
39	148	817
40	149	800
41	149	781
42	151	767
43	152	750
44	152	733
45	15347	177	788
48	178	770
49	178	754
50	179	738
51	1850	187	770
51	195	785
52	196	769
53	19655	209	765
56	212	759
57	213	748
58	230	788
59	230	773
60	231	758
61	232	747
62	233	733
63	233	719
64	234	705
65	238	704
66	2365	259	767
66	260	753
67	260	739
68	260	726
69	261	713
70	261	700
71	26273	276	699
74	277	687
75	277	676
76	278	665
77	279	655
78	280	645
79	280	635
80	292	650
81	293	640
82	294	630
83	294	620
84	295	611
85	295	601
86	296	592
87	296	583
88	297	574
89	297	566
90	298	557
91	322	592
92	322	583
93	323	574
94	323	566
95	324	557
96	324	549
97	325	541
98	326	533
99	327	527
100	339	538
101	341	531
102	342	525
103	344	520
104	346	515
105	347	507
106	348	501
107	348	493
108	349	486
109	348	478
110	350	474
111	352	468
112	353	462
113	353	456
114	354	449
115	355	444
116	355	437
117	356	432
118	357	426
119	358	4120	355	411
121	356	406
122	357	400
123123	389	430
124	390	424
125	390	418
126	392	413
127	392	408
128	394	403
129	395	398
130	395	392
131	396	387
132	396	3133	392	372
134134	411	384
135	412	378
136	412	373
137	413	368
138	414	363
139	414	358
140	415	353
141	417	349
142	419	346
143	421	3144	419	335
145	420	331
146	421	326
147	422	322
148	423	318
149	424	313
150	424	309
151151	437	313
152	442	312
153	443	307
154	443	303
155	444	299
156	445	294
157	446	291
158	446	286
159	448	282
160	450	279
161	452	276
162	454	273
163	454	269
164	455	264
165	456	261
166	489	275
167	490	271
168	491	267
169	491	263
170	492	259
171	493	255
172	493	251
173	493	246
174	509	250
175	510	246
176	510	242
177	511	238
178	511	234
179	521	234
180	521	230
181	522	226
182	523	222
183	523	219
184	524	215
185	525	211
186	525	207
187	525	204
188	528	201
189	188	549	209
189	550	205
190	550	192	552	194
193	192	563	198
193	565	195
194	566	191
195	572	189
196	573	186
197	574	182
198	575	179
199	576	201	594	173
202	595	170
203	595	166
204	596	162
205	597	159
206	597	155
207	598	152
208	598	148
209	613	149
210	614	145
211	619	143
212	620	139
213	621	136
214	622	133
215	622	129
216	623	126
217	624	123
218	624	119
219	625	116
220	640	115
221	640	112
222	641	109
223	642	106
224	656	105
225	657	101
226	658	98
227	658	95
228	659	92
229	660	88
230	660	85
231	661	82
232	661	79
233	662	76
234	663	73
235	663	70
236	664	67
237	665	64
238	665	61
239	666	58
240	667	55
241	667	52
242	668	49
243	668	46
244	674	44
245	675	41
246	676	38
247	676	35
248	677	32
249	678	29
250	678	27
251	680	24
252	680	21
253	681	18
254	682	16
255	683	13
256	684	10
257	684	7
258	685	5
259	685	2
260	692	0
4	2
260	675	0
